8,0,0.373,0.289,0.628,0.835,1,0.904
10,0,0.471,0.344,0.565,0.698,1,0.665
10,0,0.472,0.342,0.565,0.698,3,0.343
8,1,0.374,0.259,0.633,0.834,1,0.894
10,1,0.479,0.348,0.562,0.697,1,0.601
10,1,0.478,0.349,0.563,0.697,3,0.537
8,2,0.381,0.245,0.633,0.832,1,0.905
10,2,0.482,0.358,0.554,0.694,1,0.656
10,2,0.481,0.358,0.555,0.695,3,0.632
8,3,0.382,0.256,0.628,0.835,1,0.922
10,3,0.479,0.375,0.559,0.697,3,0.635
10,3,0.479,0.376,0.559,0.698,1,0.351
8,4,0.381,0.256,0.629,0.836,1,0.917
10,4,0.478,0.375,0.559,0.698,1,0.558
10,4,0.478,0.375,0.559,0.698,3,0.508
8,5,0.403,0.21,0.621,0.835,1,0.9
10,5,0.478,0.383,0.568,0.704,1,0.563
10,5,0.478,0.386,0.567,0.705,3,0.523
8,6,0.402,0.218,0.612,0.837,1,0.923
10,6,0.459,0.387,0.571,0.705,3,0.665
10,6,0.459,0.386,0.573,0.704,1,0.484
8,7,0.414,0.232,0.601,0.836,1,0.914
10,7,0.44,0.388,0.581,0.71,3,0.834
10,7,0.44,0.39,0.581,0.706,1,0.406
8,8,0.43,0.239,0.575,0.835,1,0.886
10,8,0.434,0.402,0.588,0.709,3,0.857
10,8,0.432,0.4,0.589,0.704,1,0.222
8,9,0.438,0.253,0.554,0.833,1,0.842
10,9,0.425,0.413,0.597,0.702,3,0.867
10,9,0.424,0.41,0.594,0.703,1,0.151
8,10,0.438,0.253,0.554,0.833,1,0.836
10,10,0.425,0.415,0.595,0.704,3,0.83
10,10,0.424,0.411,0.595,0.703,1,0.309
8,11,0.441,0.283,0.55,0.834,1,0.851
10,11,0.414,0.411,0.598,0.697,3,0.839
10,11,0.415,0.408,0.596,0.697,1,0.3
8,12,0.439,0.269,0.552,0.834,1,0.902
10,12,0.412,0.412,0.595,0.695,3,0.886
8,13,0.401,0.295,0.544,0.831,1,0.921
10,13,0.409,0.416,0.588,0.695,3,0.879
8,14,0.377,0.314,0.548,0.831,1,0.932
10,14,0.401,0.413,0.581,0.694,3,0.881
8,15,0.36,0.324,0.537,0.83,1,0.943
10,15,0.401,0.415,0.573,0.694,3,0.893
8,16,0.358,0.322,0.54,0.831,1,0.942
10,16,0.4,0.415,0.573,0.694,3,0.844
10,16,0.401,0.412,0.571,0.696,1,0.279
8,17,0.351,0.329,0.524,0.831,1,0.94
10,17,0.401,0.423,0.563,0.693,3,0.771
10,17,0.401,0.417,0.56,0.695,1,0.531
8,18,0.349,0.33,0.512,0.833,1,0.932
10,18,0.384,0.44,0.553,0.693,3,0.861
10,18,0.386,0.436,0.551,0.693,1,0.301
8,19,0.349,0.327,0.502,0.831,1,0.942
10,19,0.379,0.411,0.54,0.693,3,0.61
10,19,0.38,0.408,0.543,0.692,1,0.496
8,20,0.349,0.313,0.499,0.828,1,0.938
10,20,0.378,0.414,0.527,0.691,1,0.928
8,21,0.346,0.31,0.495,0.829,1,0.93
10,21,0.374,0.43,0.516,0.689,1,0.905
8,22,0.346,0.31,0.494,0.829,1,0.931
10,22,0.374,0.43,0.516,0.688,1,0.901
8,23,0.343,0.297,0.496,0.831,1,0.913
10,23,0.377,0.433,0.521,0.684,1,0.885
8,24,0.337,0.295,0.503,0.83,1,0.96
10,24,0.373,0.421,0.524,0.687,1,0.906
